pH,CO2,HCO3,CO3,H,OH,DIC,CO2_frac,HCO3_frac,CO3_frac
0.0,0.0009999990929003134,9.071053681819543e-10,1.6274498696288466e-19,1.3606725159613464,1.733102383052864e-14,0.0010000000000056819,0.9999990928946315,9.071053681768003e-07,1.6274498696195996e-16
0.01,0.000999999079146692,9.208589907054539e-10,1.681874028805152e-19,1.3285999496303404,1.7702141802384438e-14,0.0010000000000056828,0.9999990791410092,9.208589907002208e-07,1.6818740287955944e-16
0.02,0.0009999990650564879,9.349491978810184e-10,1.738317361242295e-19,1.2972761219397742,1.808059986534342e-14,0.001000000000005686,0.9999990650508018,9.349491978757022e-07,1.738317361232411e-16
0.03,0.000999999050623694,9.493819915126396e-10,1.7968554531989043e-19,1.2666837306032477,1.8466545991203812e-14,0.0010000000000056856,0.9999990506180083,9.493819915072418e-07,1.7968554531886882e-16
0.04,0.0009999990358421447,9.641635375592609e-10,1.8575667729509476e-19,1.2368058700151086,1.8860131291319336e-14,0.0010000000000056825,0.9999990358364621,9.641635375537819e-07,1.8575667729403918e-16
0.05,0.0009999990207055145,9.79300168259059e-10,1.920532781500469e-19,1.2076260221922361,1.9261510087847387e-14,0.001000000000005683,0.9999990206998315,9.793001682534937e-07,1.9205327814895547e-16
0.06,0.0009999990052073013,9.947983843721133e-10,1.9858380476784293e-19,1.1791280479228674,1.967083998670115e-14,0.0010000000000056858,0.9999990052016154,9.94798384366457e-07,1.9858380476671383e-16
0.07,0.000999998989340829,1.010664857539749e-09,2.0535703678145756e-19,1.1512961781171993,2.008828195222054e-14,0.0010000000000056869,0.9999989893351422,1.0106648575340016e-06,2.0535703678028972e-16
0.08,0.0009999989730992529,1.0269064327602173e-09,2.123820890162004e-19,1.124115005355257,2.0514000383604115e-14,0.0010000000000056858,0.9999989730935671,1.0269064327543785e-06,2.1238208901499285e-16
0.09,0.0009999989564755513,1.0435301309803626e-09,2.196684244271348e-19,1.097569475627553,2.0948163193143512e-14,0.0010000000000056825,0.9999989564698688,1.0435301309744327e-06,2.1966842442588652e-16
0.1,0.000999998939462532,1.0605431518029796e-09,2.272258675517684e-19,1.0716448802641303,2.139094188630438e-14,0.001000000000005684,0.999998939456848,1.0605431517969515e-06,2.2722586755047684e-16
0.11,0.0009999989220528126,1.0779528763100062e-09,2.3506461849916507e-19,1.0463268480477055,2.184251164369352e-14,0.001000000000005689,0.9999989220471235,1.0779528763038737e-06,2.3506461849782777e-16
0.12,0.0009999989042388145,1.0957668700015325e-09,2.4319526749758757e-19,1.0216013375067083,2.2303051404958584e-14,0.0010000000000056847,0.9999989042331298,1.0957668699953035e-06,2.431952674962051e-16
0.13,0.0009999988860127994,1.1139928858509605e-09,2.5162881002365966e-19,0.997454629384123,2.277274395466329e-14,0.0010000000000056854,0.999998886007114,1.1139928858446271e-06,2.5162881002222904e-16
0.14,0.000999998867366819,1.132638867476774e-09,2.6037666253710313e-19,0.9738733192781255,2.3251776010184006e-14,0.0010000000000056867,0.9999988673611323,1.132638867470333e-06,2.6037666253562246e-16
0.15,0.0009999988482927368,1.15171295243137e-09,2.6945067884603765e-19,0.9508443104505914,2.3740338311676773e-14,0.0010000000000056895,0.9999988482870473,1.1517129524248174e-06,2.694506788445046e-16
0.16,0.0009999988287822073,1.1712234756078035e-09,2.7886316712899647e-19,0.9283548067996606,2.4238625714158375e-14,0.0010000000000056832,0.9999988287765241,1.1712234756011472e-06,2.7886316712741166e-16
0.17,0.0009999988088267152,1.1911789727652277e-09,2.8862690764089607e-19,0.9063923059926128,2.4746837281754452e-14,0.0010000000000056882,0.9999988088210271,1.191178972758452e-06,2.886269076392543e-16
0.18,0.0009999987884175027,1.2115881841738168e-09,2.987551711313063e-19,0.8849445927553959,2.5265176384161926e-14,0.001000000000005687,0.9999987884118157,1.2115881841669264e-06,2.9875517112960723e-16
0.19,0.0009999987675456195,1.2324600583805805e-09,3.092617380047468e-19,0.8639997323152454,2.5793850795377494e-14,0.0010000000000056782,0.9999987675399413,1.2324600583735824e-06,3.0926173800299073e-16
0.2,0.0009999987462019258,1.2538037560970154e-09,3.2016091825382865e-19,0.8435460639928943,2.6333072794746012e-14,0.001000000000005682,0.9999987461962436,1.2538037560898912e-06,3.2016091825200946e-16
0.21,0.0009999987244116782,1.2756286542541883e-09,3.3146757220906956e-19,0.8235721949409738,2.6883059270379005e-14,0.001000000000040333,0.9999987243713453,1.2756286542027383e-06,3.314675721957005e-16
0.22,0.0009999987020901247,1.2979443499546094e-09,3.431971320679597e-19,0.8040669940252613,2.7444031825000584e-14,0.001000000000034475,0.9999987020556498,1.2979443499098626e-06,3.4319713205612795e-16
0.23,0.0009999986792690312,1.3207606650210243e-09,3.553656244203353e-19,0.7850195858455288,2.8016216884276497e-14,0.0010000000000296968,0.9999986792393345,1.320760664981802e-06,3.553656244097821e-16
0.24,0.0009999986559379476,1.344087650185914e-09,3.6798969355774245e-19,0.7664193448927997,2.85998458076814e-14,0.0010000000000255983,0.9999986559123494,1.3440876501515076e-06,3.679896935483226e-16
0.25,0.000999998632086664,1.3679355896641179e-09,3.8108662579689715e-19,0.748255889839909,2.919515500196504e-14,0.0010000000000222541,0.99999863206441,1.3679355896336756e-06,3.810866257884164e-16
0.26,0.0009999986077045327,1.3923150058028044e-09,3.9467437477755605e-19,0.7305190779623265,2.9802386037275315e-14,0.001000000000019539,0.9999986076849937,1.3923150057755998e-06,3.9467437476984447e-16
0.27,0.0009999985827805935,1.4172366638660037e-09,4.087715877905721e-19,0.7131989996862724,3.042178576600056e-14,0.001000000000017258,0.9999985827633356,1.417236663841545e-06,4.0877158778351754e-16
0.28,0.000999998557303766,1.4427115769548569e-09,4.2339763317921123e-19,0.6962859732612202,3.105360644439384e-14,0.0010000000000153434,0.9999985572884227,1.4427115769327207e-06,4.2339763317271486e-16
0.29,0.000999998531262752,1.4687510110651541e-09,4.385726288588526e-19,0.6797705395539522,3.169810585704047e-14,0.0010000000000137635,0.9999985312489886,1.468751011044939e-06,4.3857262885281625e-16
0.3,0.0009999985046459474,1.495366490285103e-09,4.543174720023036e-19,0.663643456961395,3.235554744423788e-14,0.0010000000000124382,0.9999985046335093,1.4953664902665034e-06,4.543174719966527e-16
0.31,0.000999998477441525,1.5225698021356277e-09,4.706538699400229e-19,0.6478956964395284,3.302620043235163e-14,0.0010000000000113278,0.9999984774301973,1.5225698021183805e-06,4.706538699346913e-16
0.32,0.0009999984496374466,1.5503730030556073e-09,4.876043723265705e-19,0.6325184366457117,3.371033996721799e-14,0.0010000000000104502,0.9999984496269965,1.5503730030394055e-06,4.876043723214749e-16
0.33,0.0009999984212212638,1.5787884240343374e-09,5.051924046267179e-19,0.6175030591918523,3.4408247250661817e-14,0.0010000000000096882,0.9999984212115756,1.5787884240190417e-06,5.051924046218235e-16
0.34,0.0009999983921803817,1.60782867639489e-09,5.234423029775116e-19,0.6028411440058775,3.5120209680200654e-14,0.0010000000000090585,0.9999983921713231,1.6078286763803253e-06,5.2344230297277e-16
0.35000000000000003,0.0009999983625018684,1.6375066577297733e-09,5.423793504841926e-19,0.5885244647990449,3.584652099201092e-14,0.0010000000000085268,0.9999983624933415,1.6375066577158105e-06,5.423793504795678e-16
